%K14,%D3,Slow%D3,Momentum,ROC,%R,A/D Oscillator,Disparity5,Disparity10,OSCP,CCI,RSI,Return
5.08712939507635,19.2863470611683,17.2190530136551,-222.049804,97.9103849189007,87.6109549522644,0.346814259752871,99.3908315824005,99.1784925107146,0.214097901985081,-27.8354530582883,36.6456448441323,-0.009468986650089
13.3688072195977,13.6796281643281,17.0516780814131,-208.530273999999,98.0382243707454,26.4251941913831,0.456552764137689,99.6745515758955,99.5368774057642,0.138314736929213,-44.0314930690609,37.9966657973835,0.0016185464967
26.4340695777238,14.9633353974659,15.9764368743208,-106.929687,98.9879248133528,31.6044433737235,0.970215182509659,99.9306515543701,99.9954686987686,-0.064820081591655,-12.1557397976378,40.9995123074694,0.003581212253226
42.8277097508466,27.5435288493893,18.7288308037278,15.5097650000007,100.148128079211,55.0542613419362,0.930045857678791,100.299230794268,100.244105966728,0.054990592223136,18.1250604460424,43.1876404885486,0.002635146102081
63.8460679378884,44.3692824221529,28.9587155563361,90.3007820000003,100.863624840526,13.420381251628,0.884209891466827,100.793945269941,100.733609645998,0.059896219499781,54.3012899727812,47.7533743742532,0.00575058837357
38.2167355790457,48.2968377559269,40.0698830091564,18.4697269999997,100.176864471099,99.0549015087704,0.077758189081109,99.8728739580685,99.9042906712411,-0.031446810703983,21.2986562209655,42.5621245506639,-0.008057831212963
36.2697536442804,46.1108523870715,46.2589908550505,-37.0908209999998,99.6462706688005,76.8648567380842,0.476456276418779,99.6986655305112,99.8175974843047,-0.119149285086939,-25.2959963942604,41.8257190821224,-0.001221667032195
71.2750733111627,48.5871875114963,47.6649592181649,102.269532,100.982822204018,12.9107814516764,0.48096031421666,100.170904276141,100.287175863024,-0.115938639095554,-18.7858100187442,46.4628973245766,0.005685966242713
22.2503947524161,43.2650739026198,45.9877046003959,-137,98.7003043938718,82.8596490328281,0.092599751519839,99.3345747227333,99.4242253235687,-0.090169775568894,-74.6348512621911,40.3909095510183,-0.009901060024247
1.80044399323175,31.7753040189369,41.2091884776843,-225.009765999999,97.8578169054443,96.3171026767557,0.096635496784023,98.6433946572813,98.4396301429589,0.206994392427523,-200.600994390428,34.5418247407125,-0.012031962129116
2.22184314049043,8.75756062871276,27.9326461834231,-316.790039000001,96.9552007829709,94.5833555324535,-0.001087973081395,97.507729173378,96.902112921738,0.624977344022541,-282.702672968539,27.8956611174541,-0.018605397932628
9.18253868613136,4.40160860661785,14.9781577514225,-349.889648,96.6425011100667,40.4211036803715,0.211696548281589,98.0658800230802,97.0721877337335,1.02366322686826,-240.296693595116,27.4127162754563,-0.001611871153256
19.4307423357664,10.2783747207961,7.81251465204222,-331.049805000001,96.8346218636922,34.266835292082,1.00352792832349,99.3490164433005,97.9259557530882,1.45320071605985,-141.26445809263,31.8042562600345,0.005576284572421
2.09340804527999,10.2355630223926,8.30518211660216,-473.659179,95.482945863302,93.6016043724106,0.317436231624935,98.980810136078,97.2589392901404,1.77039854485869,-122.610154513037,28.0590821092329,-0.011360239412427
39.1879088790581,20.2373530867015,13.5837636099634,-327.720703999999,96.8925587856835,0,0.991106793232573,101.13994631788,99.5793291882858,1.56720992430418,-58.7976878038624,41.384213635858,0.020598465271858
28.2493289401103,23.1768819548161,17.8832660213034,-303.629883,97.09760042664,41.2460950153616,0.004954058268076,100.397767043032,99.2797184478237,1.12616011879178,-40.4022369478589,39.0825831478981,-0.005958707683034
43.4760794051072,36.9711057414252,26.7951135943143,-206.089843,98.0275765131136,17.437403831273,1.00796188742433,100.894034269583,100.310199407711,0.582029410089437,2.86669574767596,43.7706612634228,0.008344377455689
27.0672444385293,32.9308842612489,31.0262906524968,-356.839844,96.6041028545875,99.8759881226596,0.187638746773979,99.9475798989582,99.7643069540441,0.183705927009048,1.01127578312258,40.1819420246242,-0.008917755818132
35.8596970188783,35.4676736208383,35.1232212078375,-205.129883,98.0283422788161,14.8168279246117,0.488401914575665,100.04961875728,100.435279417952,-0.38398923456663,3.02895900440068,42.8170115746638,0.004696021285259
13.2078012494654,25.3782475689577,31.2589351503483,-208.379883,97.9727118278001,99.8147957219369,-0.033909614423541,99.0778738951793,99.3744590878911,-0.298452132906172,-13.4312718936224,37.9647323424758,-0.012592627608695
36.2830781616132,28.450192143319,29.7653711110383,105,101.040891185592,2.59753096047136,0.849905796493104,100.210930966226,100.475626846517,-0.26344287525184,4.75414935973888,44.4161343270685,0.012128615689488
48.2597815397129,32.5835536502638,28.8039977875135,180.450194999999,101.791735832196,9.5644581834343,0.936903177437278,100.77458961231,100.879664893749,-0.104159031009493,63.7109589220485,47.2776098614538,0.00580724771022
61.4451348305754,48.6626648439672,36.5654702125167,129.540039,101.279103314713,49.3109101518291,0.547507741340918,100.616870435249,100.802831911058,-0.184480408222006,87.4863258387287,47.5355972770479,0.000512110176862
98.0025806295858,69.2358323332914,50.1606836091741,372.279296000001,103.718197137458,5.7062342063976,0.987609689676766,101.499385744055,101.685698521694,-0.18322417050524,171.542364809434,53.495982280815,0.012449066298698
83.8667396873949,81.1048183825187,66.3344385199258,121.780273999999,101.19175110739,59.831832027253,0.193339412136227,100.536146627415,101.131713895867,-0.58890257616503,150.255250025188,51.3196172001877,-0.004262041486295
85.1054244783806,88.9915815984538,79.7774107714213,187.690429999999,101.847763233255,90.5499562245474,0.987857029632954,100.286805563003,100.995422242521,-0.701632473813306,134.102061872942,51.5603497548445,0.000485524522001
