Open,High,Low,Close,Volume,%K14,%D3,Slow%D3,Momentum,ROC,%R,A/D Oscillator,Disparity5,Disparity10,OSCP,CCI,RSI,Return
10504.570313,10568.929688,10381.019531,10404.299805,318810000,5.08712939507635,19.2863470611683,17.2190530136551,-222.049804,97.9103849189007,87.6109549522644,0.346814259752871,99.3908315824005,99.1784925107146,0.214097901985081,-66.6666666666667,36.8026190752835,-0.009468986650089
10401.709961,10444.280273,10356.709961,10421.139648,293800000,13.3688072195977,13.6796281643281,17.0516780814131,-208.530273999999,98.0382243707454,26.4251941913831,0.456552764137689,99.6745515758955,99.5368774057642,0.138314736929213,-66.6666666666667,38.1764799538689,0.0016185464967
10421.139648,10476.490234,10419.44043,10458.459961,271690000,26.4340695777238,14.9633353974659,15.9764368743208,-106.929687,98.9879248133528,31.6044433737235,0.970215182509659,99.9306515543701,99.9954686987686,-0.064820081591655,-66.6666666666667,41.2212439297317,0.003581212253226
10453.450195,10526,10453.379883,10486.019531,237570000,42.8277097508466,27.5435288493893,18.7288308037278,15.5097650000007,100.148128079211,55.0542613419362,0.930045857678791,100.299230794268,100.244105966728,0.054990592223136,-66.6666666666667,43.4290097494364,0.002635146102081
10485.879883,10557.110352,10476.709961,10546.320313,283340000,63.8460679378884,44.3692824221529,28.9587155563361,90.3007820000003,100.863624840526,13.420381251628,0.884209891466827,100.793945269941,100.733609645998,0.059896219499781,66.6666666666667,48.0176187325785,0.00575058837357
10546.320313,10553.55957,10460.459961,10461.339844,201110000,38.2167355790457,48.2968377559269,40.0698830091564,18.4697269999997,100.176864471099,99.0549015087704,0.077758189081109,99.8728739580685,99.9042906712411,-0.031446810703983,66.6666666666667,42.7812383300601,-0.008057831212963
10462.080078,10482.179688,10438.44043,10448.55957,192720000,36.2697536442804,46.1108523870715,46.2589908550505,-37.0908209999998,99.6462706688005,76.8648567380842,0.476456276418779,99.6986655305112,99.8175974843047,-0.119149285086939,-66.6666666666667,42.032830067622,-0.001221667032195
10448.629883,10529.769531,10360.919922,10507.969727,267070000,71.2750733111627,48.5871875114963,47.6649592181649,102.269532,100.982822204018,12.9107814516764,0.48096031421666,100.170904276141,100.287175863024,-0.115938639095554,-66.6666666666667,46.7058820001361,0.005685966242713
10507.450195,10521.05957,10379.700195,10403.929688,274850000,22.2503947524161,43.2650739026198,45.9877046003959,-137,98.7003043938718,82.8596490328281,0.092599751519839,99.3345747227333,99.4242253235687,-0.090169775568894,-66.6666666666667,40.5723483157032,-0.009901060024247
10403.709961,10417.889648,10273.429688,10278.75,303780000,1.80044399323175,31.7753040189369,41.2091884776843,-225.009765999999,97.8578169054443,96.3171026767557,0.096635496784023,98.6433946572813,98.4396301429589,0.206994392427523,-66.6666666666667,34.6221357814276,-0.012031962129116
10276.610352,10278.530273,10076.570313,10087.509766,417360000,2.22184314049043,8.75756062871276,27.9326461834231,-316.790039000001,96.9552007829709,94.5833555324535,-0.001087973081395,97.507729173378,96.902112921738,0.624977344022541,-66.6666666666667,27.8262734550388,-0.018605397932628
10088.540039,10105.389648,10020.929688,10071.25,301220000,9.18253868613136,4.40160860661785,14.9781577514225,-349.889648,96.6425011100667,40.4211036803715,0.211696548281589,98.0658800230802,97.0721877337335,1.02366322686826,-66.6666666666667,27.3258468507578,-0.001611871153256
10071.549805,10156.530273,10071.549805,10127.410156,285960000,19.4307423357664,10.2783747207961,7.81251465204222,-331.049805000001,96.8346218636922,34.266835292082,1.00352792832349,99.3490164433005,97.9259557530882,1.45320071605985,-66.6666666666667,31.8893628113727,0.005576284572421
10131.179688,10186.450195,10000.459961,10012.360352,323910000,2.09340804527999,10.2355630223926,8.30518211660216,-473.659179,95.482945863302,93.6016043724106,0.317436231624935,98.980810136078,97.2589392901404,1.77039854485869,-66.6666666666667,28.0280130359365,-0.011360239412427
10010.509766,10218.599609,10010.509766,10218.599609,287550000,39.1879088790581,20.2373530867015,13.5837636099634,-327.720703999999,96.8925587856835,0,0.991106793232573,101.13994631788,99.5793291882858,1.56720992430418,-66.6666666666667,41.7910718843949,0.020598465271858
10218.599609,10219.339844,10069.919922,10157.709961,273540000,28.2493289401103,23.1768819548161,17.8832660213034,-303.629883,97.09760042664,41.2460950153616,0.004954058268076,100.397767043032,99.2797184478237,1.12616011879178,-66.6666666666667,39.4414077788806,-0.005958707683034
10158.519531,10260.200195,10158.519531,10242.469727,231210000,43.4760794051072,36.9711057414252,26.7951135943143,-206.089843,98.0275765131136,17.437403831273,1.00796188742433,100.894034269583,100.310199407711,0.582029410089437,-66.6666666666667,44.1748664196678,0.008344377455689
10240.990234,10263.599609,10150.990234,10151.129883,255270000,27.0672444385293,32.9308842612489,31.0262906524968,-356.839844,96.6041028545875,99.8759881226596,0.187638746773979,99.9475798989582,99.7643069540441,0.183705927009048,-66.6666666666667,40.5288900861128,-0.008917755818132
10150.320313,10219.55957,10079.450195,10198.799805,248390000,35.8596970188783,35.4676736208383,35.1232212078375,-205.129883,98.0283422788161,14.8168279246117,0.488401914575665,100.04961875728,100.435279417952,-0.38398923456663,-66.6666666666667,43.1880090842727,0.004696021285259
10194.580078,10194.580078,10070.139648,10070.370117,279300000,13.2078012494654,25.3782475689577,31.2589351503483,-208.379883,97.9727118278001,99.8147957219369,-0.033909614423541,99.0778738951793,99.3744590878911,-0.298452132906172,-66.6666666666667,38.2491714572076,-0.012592627608695
